n_games,score,best,avg,epsilon
643,18,55,13.8336,5
644,11,55,13.8292,5
645,10,55,13.8233,5
646,7,55,13.8127,5
647,17,55,13.8176,5
648,31,55,13.8441,5
649,11,55,13.8398,5
650,13,55,13.8385,5
651,22,55,13.8510,5
652,18,55,13.8574,5
653,19,55,13.8652,5
654,11,55,13.8609,5
655,0,55,13.8397,5
656,28,55,13.8613,5
657,26,55,13.8798,5
658,5,55,13.8663,5
659,37,55,13.9014,5
660,9,55,13.8939,5
661,21,55,13.9047,5
662,26,55,13.9230,5
663,36,55,13.9563,5
664,11,55,13.9518,5
665,6,55,13.9398,5
666,7,55,13.9294,5
667,37,55,13.9640,5
668,14,55,13.9641,5
669,18,55,13.9701,5
670,11,55,13.9657,5
671,19,55,13.9732,5
672,28,55,13.9940,5
673,8,55,13.9851,5
674,16,55,13.9881,5
675,10,55,13.9822,5
676,37,55,14.0163,5
677,8,55,14.0074,5
678,2,55,13.9897,5
679,2,55,13.9720,5
680,4,55,13.9574,5
681,13,55,13.9559,5
682,5,55,13.9428,5
683,24,55,13.9575,5
684,32,55,13.9839,5
685,24,55,13.9985,5
686,34,55,14.0277,5
687,16,55,14.0306,5
688,24,55,14.0451,5
689,1,55,14.0261,5
690,12,55,14.0232,5
691,19,55,14.0304,5
692,26,55,14.0477,5
693,11,55,14.0433,5
694,10,55,14.0375,5
695,10,55,14.0317,5
696,1,55,14.0129,5
697,11,55,14.0086,5
698,14,55,14.0086,5
699,32,55,14.0343,5
700,2,55,14.0171,5
701,0,55,13.9971,5
702,36,55,14.0285,5
703,5,55,14.0156,5
704,26,55,14.0327,5
705,6,55,14.0213,5
706,11,55,14.0170,5
707,13,55,14.0156,5
708,16,55,14.0184,5
709,20,55,14.0268,5
710,22,55,14.0380,5
711,9,55,14.0309,5
712,7,55,14.0211,5
713,35,55,14.0505,5
714,15,55,14.0518,5
715,15,55,14.0531,5
716,28,55,14.0726,5
717,22,55,14.0837,5
718,38,55,14.1170,5
719,33,55,14.1433,5
720,3,55,14.1278,5
721,13,55,14.1262,5
722,7,55,14.1163,5
723,7,55,14.1065,5
724,21,55,14.1160,5
725,24,55,14.1297,5
726,20,55,14.1377,5
727,8,55,14.1293,5
728,30,55,14.1511,5
729,1,55,14.1331,5
730,22,55,14.1438,5
731,22,55,14.1546,5
732,27,55,14.1721,5
733,24,55,14.1855,5
734,26,55,14.2016,5
735,13,55,14.2000,5
736,18,55,14.2052,5
737,6,55,14.1940,5
738,4,55,14.1802,5
739,7,55,14.1705,5
740,13,55,14.1689,5
741,31,55,14.1916,5
742,26,55,14.2075,5
743,9,55,14.2005,5
744,5,55,14.1882,5
745,10,55,14.1826,5
746,2,55,14.1662,5
747,20,55,14.1740,5
748,21,55,14.1832,5
749,8,55,14.1749,5
750,22,55,14.1853,5
751,37,55,14.2157,5
752,24,55,14.2287,5
753,6,55,14.2178,5
754,21,55,14.2268,5
755,2,55,14.2106,5
756,11,55,14.2063,5
757,29,55,14.2259,5
758,6,55,14.2150,5
759,22,55,14.2253,5
760,3,55,14.2105,5
761,12,55,14.2076,5
762,19,55,14.2139,5
763,2,55,14.1979,5
764,7,55,14.1885,5
765,4,55,14.1752,5
766,7,55,14.1658,5
767,32,55,14.1890,5
768,7,55,14.1797,5
769,14,55,14.1795,5
770,3,55,14.1649,5
771,32,55,14.1881,5
772,23,55,14.1995,5
773,17,55,14.2031,5
774,4,55,14.1899,5
775,12,55,14.1871,5
776,13,55,14.1856,5
777,28,55,14.2033,5
778,2,55,14.1877,5
779,13,55,14.1861,5
780,1,55,14.1692,5
781,19,55,14.1754,5
782,10,55,14.1701,5
783,30,55,14.1903,5
784,25,55,14.2041,5
785,19,55,14.2102,5
786,30,55,14.2303,5
787,1,55,14.2135,5
788,33,55,14.2373,5
789,24,55,14.2497,5
790,21,55,14.2582,5
791,2,55,14.2427,5
792,26,55,14.2576,5
793,10,55,14.2522,5
794,45,55,14.2909,5
795,5,55,14.2792,5
796,26,55,14.2940,5
797,17,55,14.2974,5
798,1,55,14.2807,5
799,4,55,14.2678,5
800,6,55,14.2575,5
801,9,55,14.2509,5
802,22,55,14.2606,5
803,20,55,14.2677,5
804,10,55,14.2624,5
805,24,55,14.2745,5
806,18,55,14.2792,5
807,31,55,14.2999,5
808,9,55,14.2933,5
809,23,55,14.3041,5
810,3,55,14.2901,5
811,19,55,14.2959,5
812,7,55,14.2869,5
813,23,55,14.2977,5
814,3,55,14.2838,5
815,5,55,14.2724,5
816,23,55,14.2831,5
817,27,55,14.2987,5
818,37,55,14.3264,5
819,3,55,14.3126,5
820,16,55,14.3146,5
821,24,55,14.3264,5
822,12,55,14.3236,5
823,4,55,14.3111,5
824,23,55,14.3216,5
825,2,55,14.3067,5
826,17,55,14.3099,5
827,10,55,14.3047,5
828,6,55,14.2947,5
